key,value
a1,TK_ASSIGNOP
a2,TK_AND
c1,TK_COMMA
c2,TK_COLON
c3,TK_CALL
c4,TK_CL
d1,TK_DOT
d2,TK_DIV
e1,TK_END
e2,epsilon
e3,TK_ENDWHILE
e4,TK_ELSE
e5,TK_ENDIF
e6,TK_EQ
e7,TK_ENDRECORD
f1,TK_FUNID
f2,TK_FIELDID
g1,TK_GLOBAL
g2,TK_GT
g3,TK_GE
i1,TK_INPUT
i2,TK_ID
i3,TK_INT
i4,TK_IF
l1,TK_LIST
l2,TK_LT
l3,TK_LE
m1,TK_MAIN
m2,TK_MUL
m3,TK_MINUS
n1,TK_NUM
n2,TK_NOT
n3,TK_NE
o1,TK_OUTPUT
o2,TK_OP
o3,TK_OR
p1,TK_PARAMETER
p2,TK_PARAMETERS
p3,TK_PLUS
r1,TK_REAL
r2,TK_RECORD
r3,TK_RECORDID
r4,TK_READ
r5,TK_RNUM
r6,TK_RETURN
s1,TK_SEM
s2,TK_SQL
s3,TK_SQR
t1,TK_TYPE
t2,TK_THEN
w1,TK_WITH
w2,TK_WHILE
w3,TK_WRITE
A4,all
A3,allVar
A2,arithmeticExpression
A1,assignmentStmt
B1,booleanExpression
C2,conditionalStmt
C1,constructedDatatype
D1,dataType
D3,declaration
D2,declarations
E1,innerTerm
E2,elseStmt
F5,factor
F3,fieldDefinition
F2,fieldDefinitions
F4,funCallStmt
F1,function
G1,global_or_not
H1,mulDiv
I5,idList
I1,input_par
I4,inputParameters
I3,ioStmt
I2,iterativeStmt
L2,logicalOp
L1,plusMinus
M1,mainFunctions
M3,more_ids
M2,moreFields
O5,operator
O6,optionalReturn
O1,otherFunctions
O3,otherStmts
O2,output_par
O4,outputParameters
P2,parameter_list
P3,primitiveDatatype
P1,program
R3,relationalOp
R1,remaining_list
R2,returnStmt
S4,SingleOrRecId_
S3,SingleOrRecId
S2,stmt
S1,stmts
T5,recAdjust
T3,term
T4,termPrime
T2,typeDefinition
T1,typeDefinitions
V1,var
$1,$
